url,title,details,image,is_native,board_id,board_name,is_video,ip_address,username,alt_text,canonical_link,story_pin_media,video,created_at,alive,is_a_repin,private
https://www.pinterest.com/pin/117304765293555810/,NA,Sanae Modern Colorful Glass Shade Wall Sconce | LuciaLiving,80f752e5d0334d00718bdd8c812f5abd,NA,117304833983608053,bedroom,NA,50.53.7.95,emcbrideee,NA,NA,NA,NA,2025/09/15 18:10:37,true,true,false
https://www.pinterest.com/pin/117304765293529187/,NA,NA,29a783d62fbbff15adc518c94326016d,true,117304833983608053,bedroom,NA,71.63.218.220,emcbrideee,NA,NA,29a783d62fbbff15adc518c94326016d,NA,2025/09/08 00:48:26,true,true,false
https://www.pinterest.com/pin/117304765293555812/,NA,Jamie Harris Pagoda 2024 - Todd Merrill Studio,52de2455a4eaeb008f082e78b9a3ad37,NA,117304833983466001,Dream home/design inspo,NA,50.53.7.95,emcbrideee,NA,https://toddmerrillstudio.com/shop/fine-art/artists-fine-art/jamie-harris/jamie-harris-circles-and-lines-chandelier-viii-2024/,NA,NA,2025/09/15 18:11:03,true,true,false
https://www.pinterest.com/pin/117304765293529189/,NA,NA,c6a6f4f629a98314c531ff01ef1c640c,true,117304833983420282,Food,NA,71.63.218.220,emcbrideee,NA,NA,c6a6f4f629a98314c531ff01ef1c640c,NA,2025/09/08 00:48:29,true,true,false
https://www.pinterest.com/pin/117304765293529190/,Raspberry Cinnamon Rolls,NA,81593e713cea6c0eee685325ad3ce5e2,true,117304833983420282,Food,NA,71.63.218.220,emcbrideee,NA,NA,81593e713cea6c0eee685325ad3ce5e2,NA,2025/09/08 00:48:49,true,true,false
https://www.pinterest.com/pin/117304765293599335/,NA,NA,014c32cb2809caf923110e7792dfc81f,true,117304833983608053,bedroom,NA,209.184.138.132,emcbrideee,NA,NA,014c32cb2809caf923110e7792dfc81f,NA,2025/09/27 20:12:48,true,true,false
https://www.pinterest.com/pin/117304765293593176/,NA,NA,fe9e006b709717592942601018ffa2fd,NA,117304833983608386,Corporate outfits,NA,12.75.215.76,emcbrideee,NA,https://www.everlane.com/products/womens-havana-boot-black,NA,NA,2025/09/26 03:20:24,true,true,false
https://www.pinterest.com/pin/117304765293475413/,Icelandic Wool Horse Hat,100% pure Icelandic sheep wool. The wool of Icelandic sheep is unique in that it contains two different types of hair that serve as a natural barrier from wet and cold weather. The outer layer is composed of coarse long hair known in Icelandic as tog. ... The softer þel layer keeps the sheep snug and warm even in the worst of weather conditions.,ab2025ee63b7977cdc93d10678b96c74,NA,117304833983378235,Clothes,NA,50.147.183.99,emcbrideee,NA,NA,NA,NA,2025/08/22 15:04:41,true,true,false
https://www.pinterest.com/pin/117304765292889132/,Till Eulenspiegel - Anton Eichinger Vintage Jester Sticker,Decorate laptops Hydro Flasks cars and more with removable kiss-cut vinyl decal stickers. Glossy matte and transparent options in various sizes. Super durable and water-resistant. 1903 Anton Eichinger,9ec284ffa0e2b1cabd8871ffedb1468d,NA,117304833983509584,future plans (tats/pets/family/wedding etc),NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/04/22 20:42:51,true,true,false
https://www.pinterest.com/pin/117304765293567068/,NA,NA,05deb729637e2a4d337b2620945161b4,true,117304833983608386,Corporate outfits,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/18 22:52:03,true,true,false
https://www.pinterest.com/pin/117304765293475411/,NA,NA,993c4fe0221b4d98f7d1f54dd58a9054,true,117304833983509584,future plans (tats/pets/family/wedding etc),NA,50.147.183.99,emcbrideee,NA,NA,993c4fe0221b4d98f7d1f54dd58a9054,NA,2025/08/22 15:04:29,true,true,false
https://www.pinterest.com/pin/117304765293529180/,NA,NA,1df7af49c8c4e4361687dcad8df8065f,NA,117304833983466001,Dream home/design inspo,NA,71.63.218.220,emcbrideee,NA,NA,NA,NA,2025/09/08 00:47:35,true,true,false
https://www.pinterest.com/pin/117304765293555805/,wild geese tattoo,#maryoliver #wildgeese,bc7ba86aab1d8e976467dca9f8fc253f,true,117304833983509584,future plans (tats/pets/family/wedding etc),NA,50.53.7.95,emcbrideee,NA,NA,bc7ba86aab1d8e976467dca9f8fc253f,NA,2025/09/15 18:10:01,true,true,false
